City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
85,altai,46.3722,96.2583,-21.42,77,20,0.99,MN,1733967302
86,santa cruz,-17.8,-63.1667,25.7,89,70,2.06,BO,1733967067
87,albany,42.6001,-73.9662,3.49,91,100,3.58,US,1733967122
88,barbastro,42.0356,0.1269,5.75,73,96,2.78,ES,1733967306
89,stanley,54.868,-1.6985,3.07,89,100,1.54,GB,1733967307
90,jamestown,42.097,-79.2353,-1.1,84,100,8.23,US,1733967155
91,olonkinbyen,70.9221,-8.7187,-5.78,61,100,8.03,SJ,1733967309
92,piti village,13.4626,144.6933,31.49,69,40,7.72,GU,1733967310
93,chonchi,-42.6128,-73.8092,8.23,97,14,1.03,CL,1733967021
94,christchurch,-43.5333,172.6333,27.4,41,81,6.17,NZ,1733967049
95,avarua,-21.2078,-159.775,27.03,74,40,7.2,CK,1733967313
96,hammerfest,70.6634,23.6821,-5.75,86,100,8.75,NO,1733967027
97,georgetown,5.4112,100.3354,27.96,78,20,2.24,MY,1733967287
98,port lincoln,-34.7333,135.8667,20.73,60,0,3.58,AU,1733967173
99,saipan,15.1355,145.701,31.39,76,20,8.23,MP,1733967318
100,arraial do cabo,-22.9661,-42.0278,22.98,78,75,1.54,BR,1733967140
101,kodinsk,58.6881,99.1844,-10.53,90,100,3.71,RU,1733967320
102,carnarvon,-24.8667,113.6333,28.14,75,100,0.5,AU,1733967321
